id,company,city,country,country_code,lat,lng,sector,stage,amount_usd_m,lead_investor,date,year,quarter,data_quality_note,pct_above_global_avg
synth_c88e73f1,SynthCorp 31,New York,USA,US,41.115777459842896,-74.35309231827793,Logistics,Growth,121.53,Accel Partners,2019-12-02,2019,2019Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,350.3
synth_af670446,SynthCorp 32,London,UK,GB,51.49183556836261,0.030335150788572796,AI/ML,Series C,37.72,General Catalyst,2021-09-04,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,39.8
synth_925758e4,SynthCorp 33,Shanghai,China,CN,31.376619377938784,121.65980489530864,AI/ML,Series C,41.93,Tiger Global,2020-02-14,2020,2020Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,55.4
synth_032e545c,SynthCorp 34,Sydney,Australia,AU,-33.988753896685566,151.3378009615105,AI/ML,Growth,134.76,Insight Partners,2021-09-27,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,399.4
synth_ebc11543,SynthCorp 35,Amsterdam,Netherlands,NL,52.28705086642095,5.031697099452747,CleanEnergy,Series D+,33.27,Accel Partners,2022-05-11,2022,2022Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,23.3
synth_8bff5412,SynthCorp 36,New York,USA,US,40.65558532571892,-73.60122171117395,Logistics,Seed,0.92,SoftBank Vision Fund,2020-09-28,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.6
synth_795e39b9,SynthCorp 37,Seattle,USA,US,47.59844758651081,-122.06868284369475,AI/ML,Series D+,55.68,Sequoia Capital,2019-07-28,2019,2019Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,106.3
synth_b1f19685,SynthCorp 38,San Francisco,USA,US,37.9457657628185,-122.14414888698921,EdTech,Series C,36.9,GV,2021-12-08,2021,2021Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,36.7
synth_7f21d2be,SynthCorp 39,San Francisco,USA,US,37.33970002391733,-122.21842353702912,CleanEnergy,Pre-Seed,0.82,Bessemer Venture Partners,2019-05-28,2019,2019Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.0
synth_da7041ef,SynthCorp 40,New York,USA,US,40.878657965978746,-74.128223545667,DeepTech,Series A,1.9,Index Ventures,2019-06-13,2019,2019Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-93.0
synth_988c4095,SynthCorp 41,New York,USA,US,40.5089371299402,-73.80904011596272,CleanEnergy,Series C,39.15,Tiger Global,2020-09-25,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,45.1
synth_c411c105,SynthCorp 42,Dubai,UAE,AE,25.267250803571205,54.96814968696507,DeepTech,Pre-Seed,0.43,Accel Partners,2022-09-22,2022,2022Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.4
synth_1032f652,SynthCorp 43,New York,USA,US,40.769528550000494,-73.91077844952157,AgriTech,Series C,27.5,Kleiner Perkins,2024-04-11,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,1.9
synth_877a815a,SynthCorp 44,Shanghai,China,CN,31.305011016953664,121.90802304036386,EdTech,Series C,51.77,Kleiner Perkins,2021-07-21,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,91.8
synth_3f0df5c9,SynthCorp 45,Beijing,China,CN,39.62816011284609,115.72440549526648,Logistics,Pre-Seed,0.53,Sequoia Capital,2024-09-17,2024,2024Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.0
synth_36708999,SynthCorp 46,New York,USA,US,39.9608469636982,-74.42302549592792,FinTech,Growth,199.73,Andreessen Horowitz,2021-01-01,2021,2021Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,640.1
synth_93ce69fe,SynthCorp 47,Boston,USA,US,42.04721247971416,-70.5782340990654,DeepTech,Series A,3.84,Accel Partners,2024-09-25,2024,2024Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-85.8
synth_10d70ad7,SynthCorp 48,San Francisco,USA,US,38.10790483402589,-122.58756134901358,DeepTech,Series A,5.49,Kleiner Perkins,2024-10-30,2024,2024Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-79.7
synth_4f8a307e,SynthCorp 49,Bangalore,India,IN,12.77146610627057,77.5467061759107,AI/ML,Growth,178.92,Index Ventures,2020-05-25,2020,2020Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,563.0
synth_70c4d00b,SynthCorp 50,Berlin,Germany,DE,52.335528304447564,13.33935433069298,EdTech,Series A,2.34,Index Ventures,2022-04-26,2022,2022Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-91.3
synth_0570a5dd,SynthCorp 51,Paris,France,FR,48.727770891000695,2.283763097412997,Logistics,Seed,0.63,General Catalyst,2019-01-02,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.7
synth_0e86fac4,SynthCorp 52,Bangalore,India,IN,12.335290368370547,77.7028289459636,CleanEnergy,Series B,12.59,Index Ventures,2024-09-24,2024,2024Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-53.3
synth_69cd4552,SynthCorp 53,San Francisco,USA,US,37.57389501346873,-122.51918672892623,DeepTech,Series B,7.57,Tiger Global,2021-08-20,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-71.9
synth_1bace732,SynthCorp 54,San Francisco,USA,US,37.382111929722825,-122.74967384954087,AgriTech,Seed,0.75,Bessemer Venture Partners,2024-04-30,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.2
synth_23970e1a,SynthCorp 55,Dubai,UAE,AE,24.915316138573065,55.287362597636694,FinTech,Series B,9.22,Andreessen Horowitz,2023-06-25,2023,2023Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-65.8
synth_e1db8d61,SynthCorp 56,Stockholm,Sweden,SE,58.95572429709688,18.15321408762153,HealthTech,Seed,1.58,General Catalyst,2024-10-22,2024,2024Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-94.1
synth_cec13dbc,SynthCorp 57,New York,USA,US,40.63819486579163,-73.40470758769467,EdTech,Series A,1.74,GV,2022-07-23,2022,2022Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-93.6
synth_f8a5b2a4,SynthCorp 58,Bangalore,India,IN,12.495227729846693,77.74915193044137,AI/ML,Seed,0.74,GV,2024-04-28,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.3
synth_a9c55433,SynthCorp 59,Tel Aviv,Israel,IL,32.260281937679146,34.74598269309636,HealthTech,Seed,0.41,Tiger Global,2021-08-18,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.5
synth_5639731f,SynthCorp 60,New York,USA,US,40.68324004590293,-74.11123967264442,EdTech,Series A,4.72,Kleiner Perkins,2020-09-17,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-82.5
synth_3cb7000a,SynthCorp 61,Singapore,Singapore,SG,1.6538529494665521,104.13737434045579,EdTech,Series A,3.89,General Catalyst,2019-03-22,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-85.6
synth_f9130851,SynthCorp 62,San Francisco,USA,US,38.224533490697326,-123.01088525107848,EdTech,Series A,1.63,GV,2023-05-17,2023,2023Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-94.0
synth_00fce0b9,SynthCorp 63,Paris,France,FR,48.728648399893544,2.3025208955113086,EdTech,Series B,7.75,Kleiner Perkins,2021-06-17,2021,2021Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-71.3
synth_7026c3d6,SynthCorp 64,Seattle,USA,US,47.968884436051276,-122.89960572312818,FinTech,Series C,43.69,Bessemer Venture Partners,2020-11-07,2020,2020Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,61.9
synth_e9e9629a,SynthCorp 65,Boston,USA,US,42.51986035359758,-70.962036064554,Logistics,Series B,13.66,SoftBank Vision Fund,2024-03-06,2024,2024Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-49.4
synth_3c47877e,SynthCorp 66,Bangalore,India,IN,12.841384214886569,78.32031588108427,EdTech,Series A,4.49,Accel Partners,2023-04-02,2023,2023Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-83.4
synth_93703ec8,SynthCorp 67,São Paulo,Brazil,BR,-23.648622542698025,-46.61505874891297,FinTech,Series A,3.5,Sequoia Capital,2022-12-04,2022,2022Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-87.0
synth_285b0703,SynthCorp 68,Sydney,Australia,AU,-34.02897548847451,151.05633544342987,AgriTech,Seed,1.15,Index Ventures,2019-03-25,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-95.7
synth_32e77533,SynthCorp 69,New York,USA,US,40.76310828331973,-73.80343485637974,HealthTech,Growth,83.95,Tiger Global,2023-02-19,2023,2023Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,211.1
synth_62e4e2e5,SynthCorp 70,Sydney,Australia,AU,-33.51448647491573,151.03953669314518,EdTech,Seed,1.48,Bessemer Venture Partners,2019-04-16,2019,2019Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-94.5
synth_ab323015,SynthCorp 71,Sydney,Australia,AU,-34.17796508485205,151.62328453610894,HealthTech,Seed,0.37,Insight Partners,2021-09-21,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.6
synth_a1709ae7,SynthCorp 72,Stockholm,Sweden,SE,59.269452079199205,17.9722716952583,Logistics,Series A,4.94,Sequoia Capital,2023-10-21,2023,2023Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-81.7
synth_e6e495ea,SynthCorp 73,São Paulo,Brazil,BR,-23.080487477301126,-46.71832655606784,AI/ML,Series D+,144.18,Insight Partners,2024-02-27,2024,2024Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,434.3
synth_d449b45a,SynthCorp 74,Toronto,Canada,CA,43.10600741689386,-79.26043221444975,AI/ML,Series B,5.88,Kleiner Perkins,2024-06-03,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-78.2
synth_9578bccb,SynthCorp 75,São Paulo,Brazil,BR,-23.22945656578018,-46.63213385370286,EdTech,Series D+,136.55,Kleiner Perkins,2021-09-25,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,406.0
synth_cd4f85ea,SynthCorp 76,San Francisco,USA,US,37.49489940632239,-122.39745186313682,AI/ML,Series D+,38.43,Kleiner Perkins,2021-01-14,2021,2021Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,42.4
synth_c69e51d2,SynthCorp 77,Beijing,China,CN,39.64276660824168,116.5276275267983,EdTech,Series B,13.72,General Catalyst,2024-10-17,2024,2024Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-49.2
synth_0e3e95b0,SynthCorp 78,Singapore,Singapore,SG,1.1400326988523632,103.54317824378067,FinTech,Seed,0.95,Andreessen Horowitz,2024-05-04,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.5
synth_1a7543b2,SynthCorp 79,Beijing,China,CN,40.34685945837514,116.04346678190942,EdTech,Series A,3.59,Benchmark,2023-02-20,2023,2023Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-86.7
synth_27ac120f,SynthCorp 80,Singapore,Singapore,SG,1.3221829640872005,104.04612927767907,HealthTech,Series A,3.79,Benchmark,2024-02-02,2024,2024Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-86.0
synth_3d93208d,SynthCorp 81,London,UK,GB,51.393791050426444,0.048677371486627125,AI/ML,Seed,0.34,Benchmark,2021-01-28,2021,2021Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.7
synth_1c2bc67c,SynthCorp 82,Boston,USA,US,42.923088603269164,-71.12818762617539,AI/ML,Series C,48.35,SoftBank Vision Fund,2022-03-05,2022,2022Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,79.2
synth_3bf8106b,SynthCorp 83,Shanghai,China,CN,31.079716599094517,121.84963661118059,CleanEnergy,Series A,3.31,Index Ventures,2019-07-06,2019,2019Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-87.7
synth_547b90d6,SynthCorp 84,Dubai,UAE,AE,24.90296839771431,55.11923787353934,AgriTech,Series A,3.21,Kleiner Perkins,2019-02-20,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-88.1
synth_72cc0553,SynthCorp 85,London,UK,GB,51.3836512104399,-0.22333225650093852,FinTech,Pre-Seed,0.71,Tiger Global,2019-09-25,2019,2019Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.4
synth_52b07b3f,SynthCorp 86,New York,USA,US,40.907715873026135,-73.89042782550885,EdTech,Series B,10.92,Insight Partners,2022-05-29,2022,2022Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-59.5
synth_485bdbea,SynthCorp 87,Boston,USA,US,42.070392797601755,-71.17610511825116,EdTech,Series B,10.63,Accel Partners,2023-12-19,2023,2023Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-60.6
synth_2ce0b71b,SynthCorp 88,Boston,USA,US,42.553858101256445,-71.12511556553349,DeepTech,Pre-Seed,0.75,Accel Partners,2020-02-11,2020,2020Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.2
synth_12642bed,SynthCorp 89,Austin,USA,US,30.372393220111967,-98.12812598476064,AgriTech,Seed,1.07,Accel Partners,2019-01-11,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.0
synth_38ec3dcb,SynthCorp 90,San Francisco,USA,US,37.678818008563695,-122.7351579978204,DeepTech,Series A,4.66,Accel Partners,2022-03-04,2022,2022Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-82.7
synth_4d2136cc,SynthCorp 91,Stockholm,Sweden,SE,58.73649561575359,18.22939331799525,CleanEnergy,Series B,5.07,Accel Partners,2023-10-08,2023,2023Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-81.2
synth_19f49ae2,SynthCorp 92,Toronto,Canada,CA,43.759955519698956,-79.77219757114605,AI/ML,Pre-Seed,0.59,General Catalyst,2020-11-10,2020,2020Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.8
synth_c8c0b81c,SynthCorp 93,New York,USA,US,40.03090751077188,-74.3178395057519,FinTech,Series C,21.09,Bessemer Venture Partners,2024-08-11,2024,2024Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-21.9
synth_afd1be02,SynthCorp 94,Paris,France,FR,49.500707347842265,2.7685358774316535,FinTech,Series B,8.93,Index Ventures,2019-04-16,2019,2019Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-66.9
synth_967e91a2,SynthCorp 95,Toronto,Canada,CA,43.46763628709408,-79.77060225908339,CleanEnergy,Series B,10.2,Insight Partners,2024-10-26,2024,2024Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-62.2
synth_f57cd10b,SynthCorp 96,Bangalore,India,IN,12.669679699863222,77.65217394072208,Logistics,Series D+,21.97,Index Ventures,2020-01-09,2020,2020Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-18.6
synth_93425342,SynthCorp 97,New York,USA,US,40.89775813737684,-73.85855472968454,AgriTech,Seed,0.6,Andreessen Horowitz,2023-06-29,2023,2023Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.8
synth_7a439a52,SynthCorp 98,Shanghai,China,CN,31.60053376337875,121.05338986325684,FinTech,Series A,1.87,Index Ventures,2023-07-14,2023,2023Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-93.1
synth_319615d6,SynthCorp 99,Dubai,UAE,AE,25.325942402993636,54.91334060103096,DeepTech,Series A,5.1,Accel Partners,2024-08-03,2024,2024Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-81.1
synth_98ab3fc5,SynthCorp 100,Singapore,Singapore,SG,1.605186646895546,103.58465673670648,FinTech,Growth,62.51,Index Ventures,2023-11-30,2023,2023Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,131.6
synth_83352f67,SynthCorp 101,Boston,USA,US,42.678485683621865,-70.27938020617096,HealthTech,Seed,1.28,General Catalyst,2023-07-30,2023,2023Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-95.3
synth_609c2bc9,SynthCorp 102,Sydney,Australia,AU,-34.34518192547074,151.21416260154183,AI/ML,Series B,16.89,Bessemer Venture Partners,2020-09-22,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-37.4
synth_b80e6f87,SynthCorp 103,São Paulo,Brazil,BR,-23.171007641782925,-46.48537264753447,CleanEnergy,Growth,122.39,Andreessen Horowitz,2023-04-21,2023,2023Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,353.5
synth_acb18e00,SynthCorp 104,Beijing,China,CN,39.621538421160295,116.85357605706457,AI/ML,Series C,45.11,Sequoia Capital,2023-08-27,2023,2023Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,67.2
synth_a2469b31,SynthCorp 105,Beijing,China,CN,39.328857056144614,116.62359928440252,AgriTech,Series A,0.1,Kleiner Perkins,2024-06-28,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-99.6
synth_051ac8a2,SynthCorp 106,Shanghai,China,CN,30.976370155392946,121.54690639030412,DeepTech,Series C,20.22,Benchmark,2023-03-26,2023,2023Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-25.1
synth_e185655e,SynthCorp 107,London,UK,GB,51.26479679919813,-0.14339716413055126,EdTech,Series A,4.39,Bessemer Venture Partners,2022-07-27,2022,2022Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-83.7
synth_4fdb9a1d,SynthCorp 108,Amsterdam,Netherlands,NL,52.28523402377773,4.906518214934832,Logistics,Series C,11.25,Andreessen Horowitz,2020-09-15,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-58.3
synth_f556e3b5,SynthCorp 109,Dubai,UAE,AE,25.150986261518312,54.90140170151202,CleanEnergy,Series A,1.97,Andreessen Horowitz,2020-08-13,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-92.7
synth_80312898,SynthCorp 110,Bangalore,India,IN,12.755741547068675,77.3834121292722,HealthTech,Growth,157.52,Kleiner Perkins,2022-10-18,2022,2022Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,483.7
synth_608145d2,SynthCorp 111,São Paulo,Brazil,BR,-23.371298984454235,-46.57688942961651,HealthTech,Series D+,59.64,SoftBank Vision Fund,2024-06-21,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,121.0
synth_8b9eb1eb,SynthCorp 112,Austin,USA,US,30.260697574011562,-98.06309634731014,HealthTech,Growth,110.67,Index Ventures,2021-07-20,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,310.1
